"measuring_program","date","time","station","sam_code","sample_id","short_name","attribute","observable","category","count","life_stage","wet_mass","dry_mass","lab_comments","condition"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Araneae","Terrestrial Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Physidae","Aquatic Non-Insect",1,"N/A","(all in RC)","(all in RC)",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Coleoptera","Terrestrial Insect",1,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Collembola","Terrestrial Non-Insect",2,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",1,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Hemiptera","Terrestrial Insect",1,"Nymphs","<0.001","<0.001",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Hemiptera","Terrestrial Insect",2,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Hymenoptera","Terrestrial Insect",2,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Neuroptera","Terrestrial Insect",1,"Larvae","(all in RC)","(all in RC)",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Coenagrionidae","Aquatic Insect",2,"Nymphs","2.4000000000001798E-3","<0.001",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Psocoptera","Terrestrial Insect",1,"Nymphs","<0.001","<0.001",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Thysanoptera","Terrestrial Insect",1,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-10-19,"8:13","STTD","","20211019_0813_STTD_DRIFT","DRIFT","Drift Invertebrates","Hyalellidae","Aquatic Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Araneae","Terrestrial Non-Insect",2,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Arrenuridae","Aquatic Non-Insect",1,"N/A","(all in RC)","(all in RC)",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Naididae","Aquatic Non-Insect",3,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Lymnaeidae","Aquatic Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Coleoptera","Terrestrial Insect",15,"Larvae","2.2999999999999687E-3","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Coleoptera","Terrestrial Insect",4,"Adults","2.6000000000001577E-3","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Collembola","Terrestrial Non-Insect",6,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Diptera","Aquatic Insect",2,"Pupae","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",5,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",1,"Pupae","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Ephydridae","Aquatic Insect",1,"Pupae","(all in RC)","(all in RC)",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Tipulidae","Aquatic Insect",6,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Hemiptera","Terrestrial Insect",2,"Nymphs","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Hemiptera","Terrestrial Insect",19,"Adults","4.9999999999998934E-3","1.1000000000001009E-3",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Corixidae","Aquatic Insect",64,"Nymphs","1.7900000000000027E-2","5.3000000000000824E-3",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Hymenoptera","Terrestrial Insect",1,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Crambidae","Aquatic Insect",5,"Larvae","1.4000000000002899E-3","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Coenagrionidae","Aquatic Insect",6,"Nymphs","5.5000000000000604E-3","<0.001",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Corophiidae","Aquatic Non-Insect",16,"N/A","4.9000000000001265E-3","1.1999999999998678E-3",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Gammaridae","Aquatic Non-Insect",622,"N/A","0.23570000000000002","6.6999999999999726E-2",NA,"N"
"YBFMP",2021-11-02,"8:53","STTD","","2021112_0853_STTD_DRIFT","DRIFT","Drift Invertebrates","Hyalellidae","Aquatic Non-Insect",42,"N/A","1.1800000000000033E-2","3.0999999999998806E-3",NA,"N"
"YBFMP",2021-11-16,"9:48","STTD","","20211116_0948_STTD_DRIFT","DRIFT","Drift Invertebrates","Collembola","Terrestrial Non-Insect",1,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-16,"9:48","STTD","","20211116_0948_STTD_DRIFT","DRIFT","Drift Invertebrates","Diptera","Terrestrial Insect",1,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-16,"9:48","STTD","","20211116_0948_STTD_DRIFT","DRIFT","Drift Invertebrates","Ephydridae","Aquatic Insect",1,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-16,"9:48","STTD","","20211116_0948_STTD_DRIFT","DRIFT","Drift Invertebrates","Hemiptera","Terrestrial Insect",2,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-16,"9:48","STTD","","20211116_0948_STTD_DRIFT","DRIFT","Drift Invertebrates","Corixidae","Aquatic Insect",3,"Nymphs","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-30,"9:30","STTD","","20211130_0930_STTD_DRIFT","DRIFT","Drift Invertebrates","Acari","Terrestrial Non-Insect",5,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-30,"9:30","STTD","","20211130_0930_STTD_DRIFT","DRIFT","Drift Invertebrates","Naididae","Aquatic Non-Insect",4,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-30,"9:30","STTD","","20211130_0930_STTD_DRIFT","DRIFT","Drift Invertebrates","Planorbidae","Aquatic Non-Insect",2,"N/A","2.0999999999999908E-3","<0.001",NA,"N"
"YBFMP",2021-11-30,"9:30","STTD","","20211130_0930_STTD_DRIFT","DRIFT","Drift Invertebrates","Hydridae","Aquatic Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-30,"9:30","STTD","","20211130_0930_STTD_DRIFT","DRIFT","Drift Invertebrates","Insecta","Terrestrial Insect",1,"Larvae","<0.001","<0.001","damaged","Y"
"YBFMP",2021-11-30,"9:30","STTD","","20211130_0930_STTD_DRIFT","DRIFT","Drift Invertebrates","Coleoptera","Terrestrial Insect",1,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-30,"9:30","STTD","","20211130_0930_STTD_DRIFT","DRIFT","Drift Invertebrates","Collembola","Terrestrial Non-Insect",7,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-30,"9:30","STTD","","20211130_0930_STTD_DRIFT","DRIFT","Drift Invertebrates","Diptera","Terrestrial Insect",5,"Adults","1.3000000000000789E-3","<0.001",NA,"N"
"YBFMP",2021-11-30,"9:30","STTD","","20211130_0930_STTD_DRIFT","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",5,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-30,"9:30","STTD","","20211130_0930_STTD_DRIFT","DRIFT","Drift Invertebrates","Culicidae","Aquatic Insect",1,"Adults","1.7000000000000348E-3","<0.001",NA,"N"
"YBFMP",2021-11-30,"9:30","STTD","","20211130_0930_STTD_DRIFT","DRIFT","Drift Invertebrates","Ephydridae","Aquatic Insect",1,"Pupae","2.3000000000004128E-3","<0.001",NA,"N"
"YBFMP",2021-11-30,"9:30","STTD","","20211130_0930_STTD_DRIFT","DRIFT","Drift Invertebrates","Hymenoptera","Terrestrial Insect",1,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-11-30,"9:30","STTD","","20211130_0930_STTD_DRIFT","DRIFT","Drift Invertebrates","Gammaridae","Aquatic Non-Insect",2,"N/A","1.4000000000002899E-3","<0.001",NA,"N"
"YBFMP",2021-12-14,"10:25","STTD","","20211214_1025_STTD_DRIFT","DRIFT","Drift Invertebrates","Acari","Terrestrial Non-Insect",1,"Nymphs","<0.001","<0.001",NA,"N"
"YBFMP",2021-12-14,"10:25","STTD","","20211214_1025_STTD_DRIFT","DRIFT","Drift Invertebrates","Araneae","Terrestrial Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-12-14,"10:25","STTD","","20211214_1025_STTD_DRIFT","DRIFT","Drift Invertebrates","Cladocera","Aquatic Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-12-14,"10:25","STTD","","20211214_1025_STTD_DRIFT","DRIFT","Drift Invertebrates","Collembola","Terrestrial Non-Insect",1,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2021-12-14,"10:25","STTD","","20211214_1025_STTD_DRIFT","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",6,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-12-14,"10:25","STTD","","20211214_1025_STTD_DRIFT","DRIFT","Drift Invertebrates","Hemiptera","Terrestrial Insect",1,"Nymphs","<0.001","<0.001",NA,"N"
"YBFMP",2021-12-14,"10:25","STTD","","20211214_1025_STTD_DRIFT","DRIFT","Drift Invertebrates","Corixidae","Aquatic Insect",1,"Nymphs","<0.001","<0.001",NA,"N"
"YBFMP",2021-12-14,"10:25","STTD","","20211214_1025_STTD_DRIFT","DRIFT","Drift Invertebrates","Hymenoptera","Terrestrial Insect",1,"Adults","7.5000000000000178E-2","1.680000000000037E-2",NA,"N"
"YBFMP",2021-12-14,"10:25","STTD","","20211214_1025_STTD_DRIFT","DRIFT","Drift Invertebrates","Gammaridae","Aquatic Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-12-14,"10:25","STTD","","20211214_1025_STTD_DRIFT","DRIFT","Drift Invertebrates","Copepoda","Aquatic Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-12-28,"10:48","STTD","","20211228_1048_STTD_DRIFT","DRIFT","Drift Invertebrates","Acari","Terrestrial Non-Insect",2,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-12-28,"10:48","STTD","","20211228_1048_STTD_DRIFT","DRIFT","Drift Invertebrates","Naididae","Aquatic Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2021-12-28,"10:48","STTD","","20211228_1048_STTD_DRIFT","DRIFT","Drift Invertebrates","Physidae","Aquatic Non-Insect",1,"N/A","3.1000000000003247E-3","<0.001",NA,"N"
"YBFMP",2021-12-28,"10:48","STTD","","20211228_1048_STTD_DRIFT","DRIFT","Drift Invertebrates","Planorbidae","Aquatic Non-Insect",1,"N/A","1.3000000000000789E-3","<0.001",NA,"N"
"YBFMP",2021-12-28,"10:48","STTD","","20211228_1048_STTD_DRIFT","DRIFT","Drift Invertebrates","Coleoptera","Terrestrial Insect",20,"Larvae","5.5000000000000604E-3","1.1999999999998678E-3",NA,"N"
"YBFMP",2021-12-28,"10:48","STTD","","20211228_1048_STTD_DRIFT","DRIFT","Drift Invertebrates","Coleoptera","Terrestrial Insect",6,"Adults","2.8999999999999027E-3","<0.001",NA,"N"
"YBFMP",2021-12-28,"10:48","STTD","","20211228_1048_STTD_DRIFT","DRIFT","Drift Invertebrates","Collembola","Terrestrial Non-Insect",357,"Larvae","6.9999999999996732E-3","2.7999999999996916E-3",NA,"N"
"YBFMP",2021-12-28,"10:48","STTD","","20211228_1048_STTD_DRIFT","DRIFT","Drift Invertebrates","Diptera","Terrestrial Insect",2,"Pupae","<0.001","<0.001",NA,"N"
"YBFMP",2021-12-28,"10:48","STTD","","20211228_1048_STTD_DRIFT","DRIFT","Drift Invertebrates","Diptera","Terrestrial Insect",3,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-12-28,"10:48","STTD","","20211228_1048_STTD_DRIFT","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",3,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2021-12-28,"10:48","STTD","","20211228_1048_STTD_DRIFT","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",55,"Adults","4.5999999999999375E-3","<0.001",NA,"N"
"YBFMP",2021-12-28,"10:48","STTD","","20211228_1048_STTD_DRIFT","DRIFT","Drift Invertebrates","Ephydridae","Aquatic Insect",1,"Larvae","1.1000000000001009E-3","<0.001",NA,"N"
"YBFMP",2021-12-28,"10:48","STTD","","20211228_1048_STTD_DRIFT","DRIFT","Drift Invertebrates","Ephydridae","Aquatic Insect",1,"Pupae","1.1999999999998678E-3","<0.001",NA,"N"
"YBFMP",2021-12-28,"10:48","STTD","","20211228_1048_STTD_DRIFT","DRIFT","Drift Invertebrates","Tipulidae","Aquatic Insect",33,"Larvae","4.7199999999999687E-2","7.2999999999998622E-3",NA,"N"
"YBFMP",2021-12-28,"10:48","STTD","","20211228_1048_STTD_DRIFT","DRIFT","Drift Invertebrates","Hemiptera","Terrestrial Insect",3,"Nymphs","<0.001","<0.001",NA,"N"
"YBFMP",2021-12-28,"10:48","STTD","","20211228_1048_STTD_DRIFT","DRIFT","Drift Invertebrates","Corixidae","Aquatic Insect",5,"Nymphs","<0.001","<0.001",NA,"N"
"YBFMP",2021-12-28,"10:48","STTD","","20211228_1048_STTD_DRIFT","DRIFT","Drift Invertebrates","Corixidae","Aquatic Insect",4,"Adults","1.5600000000000058E-2","3.8000000000000256E-3",NA,"N"
"YBFMP",2021-12-28,"10:48","STTD","","20211228_1048_STTD_DRIFT","DRIFT","Drift Invertebrates","Hymenoptera","Terrestrial Insect",1,"Adults","<0.001","<0.001",NA,"N"
"YBFMP",2021-12-28,"10:48","STTD","","20211228_1048_STTD_DRIFT","DRIFT","Drift Invertebrates","Crangonyctidae","Aquatic Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2022-01-10,"10:54","STTD","","2022110_1054_STTD_DRIFT","DRIFT","Drift Invertebrates","Naididae","Aquatic Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2022-01-10,"10:54","STTD","","2022110_1054_STTD_DRIFT","DRIFT","Drift Invertebrates","Physidae","Aquatic Non-Insect",1,"N/A","2.0999999999999908E-3","<0.001",NA,"N"
"YBFMP",2022-01-10,"10:54","STTD","","2022110_1054_STTD_DRIFT","DRIFT","Drift Invertebrates","Planorbidae","Aquatic Non-Insect",5,"N/A","2.1999999999997577E-3","<0.001",NA,"N"
"YBFMP",2022-01-10,"10:54","STTD","","2022110_1054_STTD_DRIFT","DRIFT","Drift Invertebrates","Hydridae","Aquatic Non-Insect",1,"N/A","<0.001","<0.001",NA,"N"
"YBFMP",2022-01-10,"10:54","STTD","","2022110_1054_STTD_DRIFT","DRIFT","Drift Invertebrates","Coleoptera","Terrestrial Insect",1,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2022-01-10,"10:54","STTD","","2022110_1054_STTD_DRIFT","DRIFT","Drift Invertebrates","Coleoptera","Terrestrial Insect",3,"Adults","1.7000000000000348E-3","<0.001",NA,"N"
"YBFMP",2022-01-10,"10:54","STTD","","2022110_1054_STTD_DRIFT","DRIFT","Drift Invertebrates","Collembola","Terrestrial Non-Insect",11,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2022-01-10,"10:54","STTD","","2022110_1054_STTD_DRIFT","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",7,"Larvae","<0.001","<0.001",NA,"N"
"YBFMP",2022-01-10,"10:54","STTD","","2022110_1054_STTD_DRIFT","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",1,"Pupae","<0.001","<0.001",NA,"N"
"YBFMP",2022-01-10,"10:54","STTD","","2022110_1054_STTD_DRIFT","DRIFT","Drift Invertebrates","Chironomidae","Aquatic Insect",5,"Adults","1.9000000000000128E-3","<0.001",NA,"N"
"YBFMP",2022-01-10,"10:54","STTD","","2022110_1054_STTD_DRIFT","DRIFT","Drift Invertebrates","Ephydridae","Aquatic Insect",1,"Larvae","2.6999999999999247E-3","<0.001",NA,"N"
"YBFMP",2022-01-10,"10:54","STTD","","2022110_1054_STTD_DRIFT","DRIFT","Drift Invertebrates","Tipulidae","Aquatic Insect",3,"Larvae","1.5999999999998238E-3","<0.001",NA,"N"
